Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,R2: 60 (2),R0: 66 (1),R0: 1 (1),R1: 7 (6),R1: 12 (7),R2: 10 (6),R2: 15 (3),R2: 19 (4),R3: 17 (3)
compas,Reweighing: race,R2: 61 (1),R0: 66 (1),R0: 1 (1),R2: 18 (4),R2: 21 (5),R4: 22 (4),R0: 0 (9),R1: 5 (9),R0: 3 (9)
compas,Fair-SMOTE: sex,R1: 62 (2),R1: 65 (1),R4: 581 (49),R0: -3 (6),R0: -3 (6),R0: 0 (6),R0: 5 (13),R1: 7 (12),R1: 7 (11)
compas,Fair-SMOTE: race,R1: 62 (1),R1: 65 (1),R3: 374 (44),R2: 17 (8),R2: 20 (8),R3: 21 (8),R0: -6 (6),R0: -2 (7),R0: -4 (6)
compas,AdversialDebiasing: sex,R3: 60 (2),R0: 66 (1),R2: 204 (3),R3: 24 (11),R3: 30 (13),R5: 26 (10),R3: 19 (6),R3: 22 (7),R4: 21 (6)
compas,AdversialDebiasing: race,R3: 60 (1),R0: 66 (1),R2: 203 (3),R2: 16 (9),R2: 21 (12),R3: 19 (8),R1: 12 (13),R2: 16 (12),R2: 14 (14)
compas,RejectOptionClassification: sex,R1: 62 (1),R1: 65 (2),R5: 982 (8),R0: -4 (5),R0: -1 (4),R0: -1 (5),R3: 18 (2),R2: 19 (3),R4: 20 (2)
compas,RejectOptionClassification: race,R0: 64 (1),R1: 66 (1),R6: 1009 (4),R3: 20 (4),R2: 21 (6),R5: 24 (5),R0: -5 (3),R0: -3 (4),R0: -2 (2)
compas,FairBalance,R2: 60 (1),R0: 66 (1),R1: 3 (0),R0: 3 (5),R0: 4 (6),R1: 8 (4),R0: 5 (8),R1: 9 (6),R1: 8 (8)
compas,FairBalanceClass,R1: 62 (1),R1: 65 (1),R1: 3 (0),R0: -1 (6),R0: -1 (8),R0: 2 (6),R0: -2 (4),R0: 0 (6),R0: 0 (4)
adult,Reweighing: sex,R6: 49 (1),R2: 78 (0),R0: 14 (1),R0: 0 (2),R0: 0 (3),R1: -6 (1),R3: -19 (9),R4: -32 (15),R5: -14 (4)
adult,Reweighing: race,R7: 49 (0),R0: 80 (0),R0: 14 (1),R2: -29 (0),R2: -46 (0),R5: -22 (0),R0: 0 (2),R0: -1 (4),R1: -4 (1)
adult,Fair-SMOTE: sex,R3: 54 (0),R6: 68 (1),R7: 7231 (1992),R0: -1 (1),R0: -1 (3),R4: -9 (1),R4: -26 (5),R4: -28 (5),R7: -30 (5)
adult,Fair-SMOTE: race,R0: 57 (0),R4: 72 (0),R8: 9016 (1008),R3: -31 (1),R1: -36 (3),R6: -37 (0),R0: -1 (2),R0: 0 (3),R3: -8 (2)
adult,AdversialDebiasing: sex,R5: 50 (1),R1: 79 (0),R3: 1522 (10),R1: -2 (1),R0: -4 (3),R3: -8 (1),R2: -14 (3),R3: -21 (4),R4: -13 (2)
adult,AdversialDebiasing: race,R7: 49 (0),R0: 80 (0),R4: 1538 (14),R2: -29 (0),R2: -46 (1),R5: -22 (0),R0: 0 (5),R0: 1 (8),R0: -3 (3)
adult,RejectOptionClassification: sex,R4: 54 (0),R6: 69 (0),R6: 6788 (104),R1: 3 (2),R0: 2 (3),R0: -4 (1),R3: -16 (1),R2: -16 (3),R6: -21 (1)
adult,RejectOptionClassification: race,R1: 57 (0),R5: 71 (0),R5: 6715 (133),R4: -33 (2),R1: -36 (2),R7: -39 (1),R1: 2 (2),R1: 4 (1),R0: -3 (2)
adult,FairBalance,R5: 50 (1),R2: 78 (0),R2: 26 (1),R0: 0 (8),R0: 0 (13),R2: -7 (4),R0: 0 (3),R0: 1 (5),R0: -4 (1)
adult,FairBalanceClass,R2: 55 (1),R3: 73 (1),R1: 26 (0),R0: -1 (4),R0: -2 (4),R3: -9 (5),R0: -1 (1),R0: -1 (3),R2: -6 (1)
german,Reweighing: sex,R3: 10 (6),R0: 69 (3),R0: 0 (1),R1: -4 (6),R1: -5 (9),R2: -3 (5),R3: 21 (12),R3: 19 (16),R3: 21 (12)
german,Reweighing: age,R4: 5 (5),R0: 69 (2),R0: 0 (1),R1: 2 (4),R1: 3 (7),R1: 2 (3),R1: -1 (3),R0: -3 (5),R0: -1 (2)
german,Fair-SMOTE: sex,R1: 48 (4),R1: 61 (3),R2: 117 (24),R1: 3 (11),R1: 2 (15),R2: 4 (8),R3: 17 (11),R3: 17 (15),R3: 21 (10)
german,Fair-SMOTE: age,R1: 49 (4),R1: 60 (4),R3: 144 (31),R1: 4 (8),R1: 5 (12),R3: 6 (5),R1: 0 (10),R1: -5 (14),R1: 5 (10)
german,AdversialDebiasing: sex,R2: 32 (16),R1: 64 (8),R1: 73 (1),R3: -19 (78),R2: -18 (99),R5: -19 (69),R2: 7 (35),R3: 9 (58),R2: 8 (31)
german,AdversialDebiasing: age,R2: 34 (15),R1: 65 (33),R1: 73 (1),R2: 15 (39),R2: 18 (50),R4: 13 (37),R3: 16 (168),R4: 24 (178),R3: 16 (167)
german,RejectOptionClassification: sex,R0: 51 (3),R1: 60 (1),R5: 301 (2),R1: 1 (8),R1: 3 (14),R1: 3 (6),R2: 15 (10),R3: 12 (8),R3: 19 (8)
german,RejectOptionClassification: age,R1: 49 (3),R1: 56 (3),R4: 298 (3),R1: 6 (14),R1: 6 (8),R3: 7 (18),R1: 0 (14),R2: -8 (23),R1: 4 (14)
german,FairBalance,R4: 3 (7),R0: 69 (3),R0: 0 (1),R0: 0 (2),R0: 0 (3),R0: 0 (1),R0: 0 (2),R0: 0 (4),R0: 0 (1)
german,FairBalanceClass,R0: 51 (3),R1: 60 (2),R0: 0 (1),R1: 2 (5),R1: 3 (9),R2: 4 (7),R2: 8 (10),R1: 5 (13),R2: 12 (11)
